company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,final_level_category,business_model,specialties,short_description,about_us
"Zebit, Inc.",zebit.com,49326,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"e-commerce, internet, payments","Zebit grants no-cost credit to hardworking Americans without interest, fees, or credit check.","Zebit grants no-cost credit to hardworking Americans without interest, fees, or credit check. Due to cash constraints or lack of credit access, consumers typically turn to high-cost off-line financing methods (payday loans, rent-to-own, in-store financing) with payments that can total over 3 times the purchase value.  Zebitâ€™s payment platform is the first to grant real-time, no-cost, no credit-check, 0% APR financing to shop millions of products and pay over time. 
By combining consumer income data with sophisticated risk analytics, and allowing members to shop millions of name brand products in a closed marketplace, Zebit provides the benefits of internet commerce (product selection, lower prices, and mobile-shopping convenience) that disrupts a $25 billion high-cost, off-line installment financing industry."
CommLoan.com,commloan.com,33961,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"commercial real estate, financial services, fintech",CommLoanâ€™s passion for technology guarantees that you are always matched with the best possible loan.,"At CommLoanTM we understand that the right loan is critical to the bottom line of
your commercial real estate project. You need loan options and you need them fast. With
hundreds of different lenders to choose from, CommLoan brings you one-stop
shopping and unprecedented access to the capital markets."
LenDen Club,lendenclub.com,63062,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"internet, lending, peer to peer","LenDen Club is a leading peer to peer lending platform in India, connecting wealthy investors to creditworthy borrowers.","LenDen Club is a peer to peer lending marketplace of personal loans.
In the current era of mobilization, our endeavour takes traditional lending processes online to make it beneficial, easy and hassle-free. Our finance and technology team, with a zeal to innovate, have blended their experience to resolve real world challenges faced by lenders and borrowers. The platform of LenDen Club ensures elimination of high cost intermediary institutions to bring monetary benefits to lenders and borrowers. We earn by charging transparent fees to borrowers and/or lenders!"
LetsMD,letsmd.com,63126,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"fitness, health care, wellness",LetsMD.com is a marketplace for elective surgeries,"LetsMD hopes to change the way people access healthcare in India. With no price transparency, healthcare pricing in India is a black hole. We aim to provide an avenue for prospective patients to connect with ethical healthcare service providers offering transparency in pricing. Founded and advised by people with decades of experience in healthcare, LetsMD aims to be the go to destination for people seeking high quality healthcare at affordable prices."
Activehours,activehours.com,30995,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, fintech, mobile payments",Activehours develops a smartphone-based application that enables hourly workers to get paid early when they need it.,"Activehours develops a smartphone-based application that enables hourly workers to get paid early when they need it. It works on both Android and iOS smartphones and is recommended for hourly employees with an electronic timecard system at work and a direct deposit. Founded by Ram Palaniappan in 2012, Activehours helps its users to avoid overdraft fees and high-interest payday loans. The companyâ€™s financial backers include Ribbit Capital and Felicis Ventures."
Huifenqi,huifenqi.com,60684,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,"rental, rental property, service industry",Installment Payment Platform for Housing Rents,#N/A
BorrowersFirst,borrowersfirst.com,52631,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,financial services,We are a tech-enabled consumer lending platform organized around providing superior value and experience for our borrowers.,"Our name says it all. We provide personal loans, and give our customers the lowest rates possible. No perks on our end. We spend less to give you more.
*BorrowersFirst, BorrowersFirst.com, the BorrowersFirst logo, and ConnectedCredit are trademarks of BorrowersFirst, Inc., a Delaware corporation."
Currency Capital,currencycap.com,84424,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,financial services,"Currency Capital is an equipment financing, lending and technology investment company.","On the heels of the Great Recession, businesses around the country found themselves left behind. Commercial banks just werenâ€™t lending, and when they were, the delays between application and funding were far too long.
So a group of financial experts, along with a few tech wizards, decided to take action. We engineered a technology that streamlined both approval and funding by getting a more complete financial picture at the beginning of the application process. The result was Currency, and since then weâ€™ve helped support businesses with over $500 million in loans."
Sparkfund,sparkfund.co,45680,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"accounting, analytics, energy efficiency, finance, financial services, fintech",Sparkfund powers organizations by providing access to the latest energy technology,"SparkFund is a financial technology company located in Washington, DC that lets businesses pay over time for energy efficient products and services. SparkFund builds the software and tools necessary to sell products ""As a Service"".
Vendors increasingly want to sell their products ""As a Service"". This mode of sale ensures the customer sees a simple monthly payment that is lower than the financial benefits created by the product. All the complexity of ownership, software, analytics, and O&M are kept behind the curtain, driving significant growth in sales."
Float,hellofloat.com,60202,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, financial services, machine learning",Float is a mobile-first credit experience that offers small dollar credit lines built on bank and alternative data.,"Float is a mobile-first financial service that helps young consumers access, manage, and proactively build credit. We offer thin-file consumers instant access to an affordable line of credit, direct from any smartphone, no FICO required."
Bond Street,bondstreet.com,32727,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, fintech, lending","Bond Street is a startup focused on transforming small business lending through technology, data and design.","Bond Street is a startup focused on transforming small business lending through technology, data and design.   Small business owners are the foundation for growth in our economy, and yet todayâ€™s banking system has left them behind.  Weâ€™re building a better future where access to financing is simple, transparent and fair."
Able Lending,ablelending.com,30925,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"credit, finance, fintech, small and medium businesses",Able is the lowest-cost online lender for small business loans in the nation. We partner with your network to provide loans from $25k-$1MM.,"Able is the lowest-cost online lender to small businesses in the nation. 
Our passion is to fund businesses at any stage with a new kind of loan that lets borrowers get more capital at lower rates when they recruit some support from friends, family and fans. On average Ableâ€™s borrowers save $31,000 on loans between $25,000 and $1,000,000.
Able is â€œmore than a loan.â€ We connect extraordinary entrepreneurs with additional capital, community resources, and expert advice when itâ€™s time to grow. 
To learn more, nominate your favorite business, or get pre-approved in 1 minute visit: www.ablelending.com"
RuPie,rupie.co,70073,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,,"RuPie is urban microfinance, offers loans entirely on mobile",#N/A
Upstart,upstart.com,47867,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, finance, financial services, fintech, internet, lending, personal finance",Upstart is a funding platform and mentoring network that matches students with backers who believe in their potential.,"Upstart goes beyond the FICO score to offer personal loans. The company's proprietary underwriting model identifies high-quality borrowers despite limited credit and employment history by using variables including schools attended, area of study, academic performance, and work experience. 
Upstart offers 3-year and 5-year fixed interest loans, and are primarily used to pay off credit cards, consolidate debt, eliminate student debt, start a business, or pay for a personal development bootcamp."
"Lend Street Financial, Inc.",lendstreet.com,39696,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, financial services, fintech",Lend Street is a lending platform for debt restructuring and refinancing.,"LendStreet mission is simple help people get out of debt, rebuild their credit, and get a fresh start.  They have partnerships within the financial sector which allow them to negotiate discounts on debts, which means they can pass on the discount to our customers and they in turn can get out of debt sooner, rebuild their credit and get on with their lives."
CASHe,cashe.co.in,53412,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,financial services,"For timely EMI payments or squaring monthly bills, making a major purchase that you so desired","CASHe, a fin-tech product from TSLC PTE. LTD., is as unique as the young professionals it serves. In a smart digital world, CASHe offers millennials quick and easy personal loans through processes that are transparent, innovative and tuned to the times. CASHe utilizes sophisticated algorithms and machine learning capabilities to deliver an amazing and improved lending experience to our customers, thereby helping young professionals achieve their financial goals effortlessly. An app that offers instant transfer of funds for approved applicants."
Upgrade,upgrade.com,109379,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, financial services, lending, online portals",Upgrade is a lending company that offers a credit monitoring through its platform for free.,"Upgrade is an online lending platform that combines personal loans with free credit monitoring, helping you secure more affordable credit in the long run. Learn more at http://upgrade.com/
Upgrade offers loans up to $50,000 with low fixed rates, affordable monthly payments and no prepayment fees. Our one-page online application is quick and easy, and youâ€™ll get a decision in just seconds - with no negative impact on your credit score. With repayments plans of either 36 or 60 months, you get to choose the loan that fits your budget and timeline. After approval, your loan will be funded the next day and you can use your funds to pay off credit cards, for major purchases or home improvement.
Weâ€™re here to help you build your financial future. Set yourself up for success by choosing a custom due date and signing up for automatic payments. You can circle the date on your calendar when you will be debt free. In the coming months, weâ€™ll also be launching new tools to help you better manage and monitor your credit score.
Two members of our founding team, Renaud Laplanche and Soul Htite, are the co-founders of Lending Club, a pioneer in marketplace lending that facilitated over $24 billion in loans and made credit more affordable for nearly 2 million American families over the last decade. Soul also founded Dianrong, one of the largest marketplace lending platforms in China. Our founders have now designed a new credit platform that attempts to create even more value to our customers and be more helpful to more people."
Lending Club,lendingclub.com,92859,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, credit, finance, fintech, lending, personal finance",Lending Club is an online financial community that brings together creditworthy borrowers and savvy investors.,"Lending Club is an online financial community that brings together creditworthy borrowers and savvy investors so that both can benefit financially. They replace the high cost and complexity of bank lending with a faster, smarter way to borrow and invest."
MortgageHippo,mortgagehippo.com,109065,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,real estate,MortgageHippo is an end-to-end solution that automates and streamlines the mortgage process and breaks it down into easy-to-follow steps.,"MortgageHippo provides recommendations, personalized results, and expert advice to help individuals make suitable mortgage choices. It was launched in January 2013 and is operated from Chicago, Illinois."
Patch Homes,patchhomes.com,109982,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,,Unlocking home equity wealth for consumers without any interest or monthly payments,#N/A
Ledge,ledge.me,109630,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, financial services","Digital finance platform that optimizes customer experience, digital distribution, and channel management for financial service providers.","Powered by Venmo, Ledge is the simplest way to borrow money from friends and family- and automatically pay them back on the terms that you choose.You're not a charity case. You're good for it. Sometimes large expenses come up that require a little help. Ledge makes sure you never miss a beat when you need a little extra cash."
i-lend,i-lend.in,110603,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"lending, marketplace, peer to peer",i-lend is India's first social lending initiative that brings together borrowers and lenders to facilitate a financial transaction.,"An online marketplace that brings together creditworthy borrowers and individual lenders for a personal loan transaction without the intervention of traditional financial institutions like banks.
Borrowers can apply for small loans between Rs.25k - Rs.1L for 6 Months or 12 month period. The interest rates vary between 18% - 24%, much lower than financial institutions. Lenders can higher returns compared to Savings Account & FDs."
EarlySalary,earlysalary.com,35202,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, fintech",EarlySalary.com is a new FinTech start-up in Pune. We are here to help you from being broke.,"EarlySalary is a salary advance mobile application that enables Indian users to borrow money for urgent cash requirements before they get their monthly wages. It aims to help individuals who face month-end and mid-month financial crisis by providing small loans until they receive their salaries. Users of the application are able to login though their Facebook accounts, communicate the amount they need as a loan and a date they could settle it, submit basic documents, and get the money credited to their bank accounts. EarlySalary offers loans between 1,000 INR and 100,000 INR with payback terms ranging from 7 to 50 days."
"Funding Wonder, Inc.",fundingwonder.com,58479,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"auctions, financial services, franchise, small and medium businesses",Funding Wonder is a business loan exchange that brings together investors and franchises seeking loans on an SEC registered portal.,"Funding Wonder is a business loan exchange that offers the opportunity to invest in loans to franchise businesses. The franchise industry is growing faster than the economy as a whole and collectively accounts for $890 billion in economic output. Funding Wonder empowers investors and businesses to achieve their financial goals by bringing them together on a trusted, SEC registered portal to interact and transact. Accredited and non-accredited investors can invest in debt securities for businesses with proven franchise models that have been certified by Funding Wonder and return principal and interest through monthly payments. Franchise business owners, in turn, gain access to a vital alternative source of capital."
Money360,money360.com,65106,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"commercial real estate, marketplace, real estate",Money360 is a revolutionary online marketplace for commercial real estate loans,"Money360 is a revolutionary online marketplace for commercial real estate loans. Money360 enables borrowers to directly access affordable commercial real estate loans through an innovative online lending platform, eliminating the overhead and processing costs associated with traditional banking models. Loans are funded by banks, insurance companies, pension funds or other accredited investors through a revolutionary online marketplace, enabling borrowers to obtain competitive rates, flexible terms, and efficient service while enabling investors to receive better returns than those offered by traditional investment vehicles."
Moni,moni.com.ar,65117,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,personal finance,"Help you to receive a cash advance immediately, without formalities or paperwork. 100% online.","Hello I'm Moni and this is my fanpage! 
You can ask me for an advance of up to $ 4,000. It's very simple! Complete an online form and immediately you confirm if it was approved and I'll transfer it within the same day into your bank account. devolvÃ©s Like me? It is also very easy. Just the day debitarÃ© agreed as your bank account. Arrives ends meet and are tight? He left a trip with friends? You had some unexpectedly? Want to go to a mega concert? Here I can help with a short term loan for you to solve some of these situations.
 Join www.moni.com.ar and you'll see how easy it is :)"
Neighborly,neighborly.com,41508,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, fintech, govtech, impact investing, software","Neighborly modernizes access to public finance, the $1 billion dollar per day market that funds vital public projects like schools & parks.","Neighborly modernizes access to public finance, the multi-trillion dollar market that funds vital public projects like schools, parks, libraries, roads, and next-generation public projects such as neighborhood microgrids. For investors, Neighborly delivers direct access to high-quality, world-positive investment opportunities. For issuers, Neighborly provides the platform to borrow what's needed, when it's needed for public projects."
PaySense,gopaysense.com,110916,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, fintech, information technology",PaySense is a fintech startup focused on bringing innovative financial services to Indian consumers.,PaySense is a fintech startup focused on bringing innovative financial services to Indian consumers.
Credy,credy.in,109842,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"credit, financial services, fintech, lending",Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,Credy is a Fintech platform that connects borrowers seeking capital with lenders seeking market-beating returns.
RealtyShares,realtyshares.com,69261,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, financial services, real estate, real estate investment",RealtyShares is an online marketplace for real estate investing,"RealtyShares is a real estate crowdfunding platform that provides accredited investors access to pre-vetted real estate investment properties and an opportunity to invest as little as $5,000 into each property."
LendUp,lendup.com,39697,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"finance, fintech, lending",LendUp is a socially responsible lender for the 56% of Americans shut out of mainstream banking due to low credit or volatile income.,"LendUpâ€™s mission is to provide anyone with a path to better financial health. We build technology, credit products and educational experiences for the 56% of the US population who are shut out of mainstream banking because of poor credit or volatile incomes. 
All of our technology is built in-house. We currently offer several types of credit products, including loans and credit cards. We embed education into our products, and where available, credit building opportunities, to help borrowers improve their long-term financial health and break out of vicious debt cycles.
We were founded by two step-brothers, CEO Sasha Orloff and CTO Jake Rosenberg. Sasha puts the â€œfinâ€ in fintech, having worked at Citi, World Bank and Grameen Bank. Jake puts the â€œtechâ€ in fintech; he was a platform CTO at Zynga at 29 and began working at Yahoo! at age 16, as employee #80."
Qbera,qbera.com,68852,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,financial services,Qbera is a managed marketplace for unsecured personal loans.,"Qbera is a managed marketplace for unsecured personal loans that leverages tech-enabled acquisition, underwriting and loan processing capabilities to offer credit products co-created with banks that are part of Qbera's multi-lender network. Such origination of assets against a bankâ€™s liabilities is performed in a hybrid lending model wherein Qbera shares some of the risk with the bank.
Banks and NBFCs plug their balance sheet into Qbera to tap into new customer segments using Qberaâ€™s programmatic lending solution and benefit from lower operating expense, data-driven underwriting and credit decisioning, reduction in turnaround time, no cost of customer acquisition, proven technology and increase in profitability.
Qbera has capabilities across the lending lifecycle:
1.    Acquisition: We have an omni-channel borrower sourcing funnel that taps into best-in-class digital acquisition strategies and tech-enabled offline partners. We operate a Lending-as-a-Service (LaaS) model for our customer acquisition partners which enables them to offer credit products to their customers.
2.    Underwriting: Validated risk strategy and scorecards that are hosted on sophisticated data-driven rules engine. Extending access to credit to salaried employees of more than 7 lakh companies.
3.    Fulfilment: Paper-less delivery of loans. Digital verification of residence, income and employment for majority of borrowers.
4.    Servicing: Proprietary Loan Management System (LMS) with a powerful customer relationship management platform for automated/self-service along with a dedicated contact center team.
5.    Collections: Data-driven early warning systems that track and provide flexibility to stressed borrowers for them to remain financially buoyant."
Self Lender,selflender.com,44741,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"fintech, internet, personal finance",self lender helps people build credit with a simple savings plan.,"Self Lender is helping thousands of people begin their financial journey with a credit builder account. They understand that building a financial foundation is a daunting task for most people, so they're dedicated to building a product that will help their customers move two steps in the right direction."
DigiLend Analytics & Technology,digilend.in,171743,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,financial services,DigiLend Analytics & Technology is a marketplace that enables individuals like you to avail unsecured personal loans.,"DigiLend is a marketplace that enables individuals like you to avail unsecured personal loans for different needs like education, travel, holidays, wedding, home improvement, debt consolidation, emergency needs etc. If you need a cash loan or a bank loan, look no further. We provide online, instant and quick loans at competitive interest rates. It is DigiLendâ€™s endeavour to make getting a loan easier for you by doing an online and instant credit evaluation and connecting you with the right lender. We provide everyone with easy and convenient access to credit."
Ace Cash Express,acecashexpress.com,179590,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,,Ace Cash Express is a provider of payday loans and prepaid debit cards.,we cash all kinds of payroll checks
Ascentium Capital,ascentiumcapital.com,188088,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,financial services,Ascentium Capital is an independent equipment finance company.,"Ascentium Capital LLC specializes in providing a broad range of financing, leasing and working capital loans. The company's offering benefits equipment manufacturers and distributors as well as direct to businesses nationwide."
BoeFly,boefly.com,196426,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"consumer lending, fintech, lending, marketplace",Connecting Business Borrowers & Lenders,"Based in New York, United States, BoeFly is an online marketplace that leverages proprietary technology to transform that way commercial transactions are conducted. It acts as an online exchange that connects all parties involved in a transaction, thereby simplifying loan origination and secondary market loan sales. Borrowers build a complete decision-ready loan request online using â€œSmartFormâ€ technology which, when completed, provides the information that over 3,600 lenders nationwide. Once the matching technology identifies compatible lenders, borrowers then have complete control over which lenders can instantly access their loan request. The company was founded in 2008."
Canada-Payday-Loans,canada-payday-loans.com,120379,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,,An instant approved online payday loans services in Canada.,Canada-Payday-Loans are fastest growing online payday loans firm in Canada.We completely understands your financial needs and determined to serve you the best.Canada-Payday-Loans offers hassle free online payday loans services with no charging fees.Your loan approval is our responsibility.Open 24 hours.
Cointribe,cointribe.com,122343,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"consumer lending, credit, finance, financial services",CoinTribe is an online lending marketplace that provides small business and salaried individuals way to get funds/capital.,"Cointribe operates an online lending marketplace that enables small business and salaried individuals to get funds and capital. The companyâ€™s service enables companies to apply for business and personal loans through its website or mobile application.
Cointribe was founded by Amit Sachdev and Rohit Lohia in 2015 and is headquartered in Gurgaon, India."
Confident Financial Solutions,mycfsapp.com,272320,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,,Confident Financial Solutions (CFS) offers the highest quality financial solutions for automotive service centers and their customers.,#N/A
De Crowdfunding Alliantie,crowdfundingalliantie.nl,211312,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,internet,There are a large number of online crowdfunding platforms where you can go if you want your company take advantage of crowdfunding.,"There are a large number of online crowdfunding platforms where you can go if you want your company take advantage of crowdfunding. Of course you can arrange everything yourself, but how do you a good campaign? It is much easier to get the marketing around crowdfunding from the hands of specialists who have a lot of knowledge and experience."
Direct Lending,directlending.com.my,125112,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,fintech,Online personal lending platform,"Online personal lending platform that strives to provide a faster, simpler and safer borrowing experience to consumers"
Enova International,enova.com,223480,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"finance, financial services","Enova provides reliable, real-time financial options for people facing immediate cash demands.","Enova provides reliable, real-time financial options for everyday, hardworking people facing immediate cash demands. As a global financial resource for under-served consumers, they operate a portfolio of businesses that offer a variety of online credit products and services to more than one million customers in the United States, United Kingdom, Australia and Canada."
Funding Wizards,fundingwizards.com,129870,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, lending",Funding Wizards is a marketplace which connects business owners to a vast network of local and national lenders and investors.,#N/A
Hippoteq,mortgagehippo.com,109065,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,,"MortgageHippo is designed to bring simplicity, transparency, and efficiency to an otherwise complicated home loan process.",#N/A
Instakash,instakash.in,135533,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"financial services, lending",Instakash's aim to empower small businesses and let them grow by using new methods of lending.,"Instakash has aim to empower small businesses and let them grow by using new methods of lending. They want to transform the experience of borrowing by making it simpler and more efficient. They are currently offering loans and line of credit to small businesses, the application process for which can be completed in minutes.
They strive to make the application, processing and approval as hassle free as possible."
LoanCircle,loancircle.in,139183,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, lending","LoanCircle provides people with quick access to loans, at the best possible rates suited for a person.","LoanCircle aspires to disrupt and redefine the way lending is done in India. Their online platform empowers people who want better and speedier alternatives to existing financing channels, or have so far been underserved by those channels.
They go beyond conventional credit scores, and consider a person's education, work experience, expected career growth, and up to 1000 other data points, while evaluating a loan application.
Their data driven underwriting model lets us identify high quality borrowers, which helps the lenders on their platform make good returns on their investments."
Loquidity,loquidity.com,139434,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,real estate,"Loquidity offers accredited and international investors with curated, locally sourced real estate investment opportunities.","Loquidity is a membership-based platform that offers accredited and international investors with curated, locally sourced real estate investment opportunities. It is the Midwest marketplace for crowd-sourced real estate investments that takes out middlemen to help sponsors fund their projects. 
Loquidity members can view pre-vetted deals and learn more about specific investments; track their progress through an online investor dashboard; receive email updates for each deal; and access Q&A forums. Deals include information such as the estimated annual return, projected length of the investment, property and location information, market analysis, and a profile for all primary parties involved in the investment.
Loquidity was launched in 2014 and its operations are based in Michigan, United States."
One Park Financial,oneparkfinancial.com,279784,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,,The nationâ€™s leading financial services firm connecting merchants with the most diverse and experienced private business lenders.,#N/A
Open Energy Group,openenergygroup.com,280474,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"energy, renewable energy",Open Energy provides between $0.5m and $10m in non-recourse debt financing for solar projects.,"Open Energy provides between $0.5m and $10m in non-recourse debt financing for solar projects. By standardizing documentation, fixing transaction costs and streamlining the financing process, Open Energy rapidly processes your loan application and allows you to quickly tap into the potential of solar power. Compared to traditional lenders, Open Energyâ€™s solution can reduce total transaction fees by approximately 70 percent."
"Ovamba, Inc.",ovamba.com,282003,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,,Ovamba is a platform that utilizes a peer-to-peer lending model that allows retail and institutional lenders to lend and borrow loans.,"The Ovamba platform uses a social or â€œpeer-to-peerâ€ lending model that allows our retail and institutional lenders to lend and borrow from each other with complete transparency. The Ovamba platform provides liquidity and risk management for regulated local financial firms. This reduces the cost and complexity that is usually seen in the traditional banking systems, and passes the savings onto Ovambaâ€™s members and borrowers."
PayDay One,paydayone.com,283744,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consulting, finance, personal finance",PayDay One is a provider of installment loans and credit services over the internet.,"PayDay One has been a leading provider of payday loans over the Internet since 2002. 
Our company was founded with one goal Ã¢â‚¬â€œ to be the most consumer-friendly lender in the industry. For our customers, that means guaranteed prices, a fast and convenient loan process, and friendly customer service.
PayDay One is a subsidiary of ThinkCash, Inc. with offices in Delaware, Nevada and Texas.
To learn more about ThinkCash, visit our corporate web site at www.thinkcashfinancial.com."
Plum Lending,plumlending.com,146966,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,fintech,"Plum is transforming the CRE ownership experience through unparalleled access to loan options, tech tools, and an exclusive network.","Plum Lending is a non-bank commercial real estate lender, specializing in loans from $1,000,000 to $15,000,000 nationwide. It combines the power of innovative technology with a team of real estate and finance professionals to deliver expedited execution, improved transaction visibility, and an unparalleled client experience. It allows acquisition or refinance of properties nationwide that includes multifamily, office, industrial, retail, hotel, manufactured housing, and self-storage.
Plum Lending is a U.S.-based company that was founded in 2014 by Bill Fisher."
Rimbal,rimbal.com.au,296534,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, fintech",Rimbal provides financial services technology.,Financial Services Technololgy
Samoyed Financial Service,smyfinancial.com,353293,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,finance,a new type of internet FinTech company that relies on the powerful FinTech ability to provide users with more inclusive financing options.,"Samoyed Financial Service (Shenzhen Samoyed Internet Financial Service LTD. Co) is a new type of internet FinTech company that relies on the powerful FinTech ability to provide users with more inclusive financing options. Samoyed cut into the consumer finance market by means of its first product ""Sheng Bei.â€ Sheng Bei provides internet financial services for users such as: credit card management, a preferential card-using guide, and lower interest rates for Compensating Balances."
